TradeId,Volatility,Position,Days,Marketfell,Marketrose,PointsChange,Traded
993,2,short,27,1,0,26,NY
994,3,short,,0,0,7.75,SIN
995,3,short,26,0,0,7.775,NY
996,3,long,16,1,1,8.5167,LON
997,3,short,28,0,0,22.525,NY
998,3,short,21,0,0,7.8208,SIN
999,3,short,,0,0,7.75,SIN
1000,3,short,,0,0,8.7125,NY
1001,2,short,18.5,0,0,13,NY
1002,2,short,41,0,0,15.0458,LON
1003,3,long,,0,0,7.7792,SIN
1004,1,long,36,0,0,31.6792,LON
1005,3,long,18.5,0,0,7.2833,SIN
1006,1,long,63,1,0,221.7792,NY
1007,3,short,18,1,0,14.4542,LON
1008,3,short,,0,0,6.4375,LON
1009,3,long,1,1,1,16.7,NY
1010,1,short,36,0,0,75.2417,LON
1011,2,long,29,1,0,26,NY
1012,2,long,12,0,0,15.75,NY
1013,3,short,,1,0,7.75,SIN
1014,1,long,35,1,0,57.75,LON
1015,3,short,28,0,0,7.25,NY
1016,3,short,,0,0,7.75,SIN
1017,3,long,17,0,1,16.1,NY
1018,3,short,22,0,0,7.7958,NY
1019,3,long,,2,0,23.25,SIN
1020,2,short,42,0,0,13,NY
1021,3,short,24,0,0,8.05,NY
1022,3,short,32,0,0,8.05,NY
1023,1,short,53,0,0,28.5,LON
1024,3,long,,0,4,25.4667,NY
1025,3,short,,1,0,6.4375,LON
1026,3,short,43,0,0,7.8958,NY
1027,3,short,24,0,0,7.8542,NY
1028,3,short,26.5,0,0,7.225,LON
1029,2,short,26,0,0,13,NY
1030,3,long,23,0,0,8.05,NY
1031,3,short,40,1,6,46.9,NY
1032,3,long,10,5,2,46.9,NY
1033,1,long,33,0,0,151.55,NY
1034,1,short,61,1,3,262.375,LON
1035,2,short,28,0,0,26,NY
1036,1,short,42,0,0,26.55,NY
1037,3,short,31,3,0,18,NY
1038,1,short,,0,0,51.8625,NY
1039,3,short,22,0,0,8.05,NY
1040,1,short,,0,0,26.55,NY
1041,2,short,30,1,1,26,NY
1042,1,long,23,0,1,83.1583,LON
1043,3,short,,0,0,7.8958,LON
1044,3,short,60.5,0,0,,NY
1045,3,long,36,0,2,12.1833,NY
1046,3,short,13,4,2,31.3875,NY
1047,3,short,24,0,0,7.55,NY
1048,1,long,29,0,0,221.7792,NY
1049,3,long,23,0,0,7.8542,NY
1050,1,short,42,0,0,26.55,NY
1051,3,long,26,0,2,13.775,NY
1052,3,long,,0,0,7.7333,SIN
1053,3,short,7,1,1,15.2458,LON
1054,2,long,26,0,0,13.5,NY
1055,3,short,,0,0,7,NY
1056,2,short,41,0,0,13,NY
1057,3,long,26,1,1,22.025,NY
1058,1,short,48,0,0,50.4958,LON
1059,3,short,18,2,2,34.375,NY
1060,1,long,,0,0,27.7208,LON
1061,3,long,22,0,0,8.9625,NY
1062,3,short,,0,0,7.55,NY
1063,3,short,27,0,0,7.225,LON
1064,3,short,23,1,0,13.9,NY
1065,3,short,,0,0,7.2292,LON
1066,3,short,40,1,5,31.3875,NY
1067,2,long,15,0,2,39,NY
1068,2,long,20,0,0,36.75,NY
1069,1,short,54,1,0,55.4417,LON
1070,2,long,36,0,3,39,NY
1071,1,long,64,0,2,83.1583,LON
1072,2,short,30,0,0,13,NY
1073,1,short,37,1,1,83.1583,LON
1074,1,long,18,1,0,53.1,NY
1075,3,short,,0,0,7.75,SIN
1076,1,long,27,1,1,247.5208,LON
1077,2,short,40,0,0,16,NY
1078,2,long,21,0,1,21,NY
1079,3,short,17,2,0,8.05,NY
1080,3,long,,8,2,69.55,NY
1081,2,short,40,0,0,13,NY
1082,2,short,34,1,0,26,NY
1083,1,short,,0,0,26,NY
1084,3,short,11.5,1,1,14.5,NY
1085,2,short,61,0,0,12.35,SIN
1086,2,short,8,0,2,32.5,NY
1087,3,short,33,0,0,7.8542,NY
1088,1,short,6,0,2,134.5,LON
1089,3,long,18,0,0,7.775,NY
1090,2,short,23,0,0,10.5,NY
1091,3,long,,0,0,8.1125,NY
1092,3,long,,0,0,15.5,SIN
1093,3,short,0.33,0,2,14.4,NY
1094,1,short,47,1,0,227.525,LON
1095,2,long,8,1,1,26,NY
1096,2,short,25,0,0,10.5,NY
1097,1,short,,0,0,25.7417,LON
1098,3,long,35,0,0,7.75,SIN
1099,2,short,24,0,0,10.5,NY
1100,1,long,33,0,0,27.7208,LON
1101,3,short,25,0,0,7.8958,NY
1102,3,short,32,0,0,22.525,NY
1103,3,short,,0,0,7.05,NY
1104,2,short,17,0,0,73.5,NY
1105,2,long,60,1,0,26,NY
1106,3,long,38,4,2,7.775,NY
1107,1,short,42,0,0,42.5,NY
1108,3,long,,0,0,7.8792,SIN
1109,1,short,57,1,1,164.8667,NY
1110,1,long,50,1,1,211.5,LON
1111,3,short,,0,0,8.05,NY
1112,2,long,30,1,0,13.8583,LON
1113,3,short,21,0,0,8.05,NY
1114,2,long,22,0,0,10.5,NY
1115,3,short,21,0,0,7.7958,NY
1116,1,long,53,0,0,27.4458,LON
1117,3,long,,0,2,15.2458,LON
1118,3,short,23,0,0,7.7958,NY
1119,3,long,,0,0,7.75,SIN
1120,3,short,40.5,0,0,15.1,NY
1121,2,short,36,0,0,13,NY
1122,2,short,14,0,0,65,NY
1123,1,long,21,0,0,26.55,NY
1124,3,short,21,1,0,6.4958,NY
1125,3,short,,0,0,7.8792,SIN
1126,1,short,39,1,0,71.2833,LON
1127,3,short,20,0,0,7.8542,NY
1128,1,short,64,1,0,75.25,LON
1129,3,short,20,0,0,7.225,LON
1130,2,long,18,1,1,13,NY
1131,1,long,48,1,0,106.425,LON
1132,1,long,55,0,0,27.7208,LON
1133,2,long,45,0,2,30,NY
1134,1,short,45,1,1,134.5,LON
1135,3,short,,0,0,7.8875,NY
1136,3,short,,1,2,23.45,NY
1137,1,short,41,1,0,51.8625,NY
1138,2,long,22,0,0,21,NY
1139,2,short,42,1,1,32.5,NY
1140,2,long,29,1,0,26,NY
1141,3,long,,1,0,14.4542,LON
1142,2,long,0.92,1,2,27.75,NY
1143,3,short,20,0,0,7.925,NY
1144,1,short,27,1,0,136.7792,LON
1145,3,short,24,0,0,9.325,NY
1146,3,short,32.5,0,0,9.5,NY
1147,3,short,,0,0,7.55,NY
1148,3,short,,0,0,7.75,SIN
1149,3,short,28,0,0,8.05,NY
1150,2,long,19,0,0,13,NY
1151,3,short,21,0,0,7.775,NY
1152,3,short,36.5,1,0,17.4,NY
1153,3,short,21,0,0,7.8542,NY
1154,2,long,29,0,2,23,NY
1155,3,long,1,1,1,12.1833,NY
1156,2,short,30,0,0,12.7375,LON
1157,3,short,,0,0,7.8958,NY
1158,1,short,,0,0,0,NY
1159,3,short,,0,0,7.55,NY
1160,3,long,,0,0,8.05,NY
1161,3,short,17,0,0,8.6625,NY
1162,1,short,46,0,0,75.2417,LON
1163,3,short,,0,0,7.75,SIN
1164,1,long,26,1,0,136.7792,LON
1165,3,long,,1,0,15.5,SIN
1166,3,short,,0,0,7.225,LON
1167,2,long,20,1,0,26,NY
1168,2,short,28,0,0,10.5,NY
1169,2,short,40,1,0,26,NY
1170,2,short,30,1,0,21,NY
1171,2,short,22,0,0,10.5,NY
1172,3,long,23,0,0,8.6625,NY
1173,3,short,0.75,1,1,13.775,NY
1174,3,long,,0,0,7.75,SIN
1175,3,long,9,1,1,15.2458,LON
1176,3,long,2,1,1,20.2125,NY
1177,3,short,36,0,0,7.25,NY
1178,3,short,,0,0,7.25,NY
1179,1,short,24,1,0,82.2667,NY
1180,3,short,,0,0,7.2292,LON
1181,3,short,,0,0,8.05,NY
1182,1,short,,0,0,39.6,NY
1183,3,long,30,0,0,6.95,SIN
1184,3,short,,0,0,7.2292,LON
1185,1,short,53,1,1,81.8583,NY
1186,3,short,36,0,0,9.5,NY
1187,3,short,26,0,0,7.8958,NY
1188,2,long,1,1,2,41.5792,LON
1189,3,short,,2,0,21.6792,LON
1190,1,short,30,0,0,45.5,NY
1191,3,short,29,0,0,7.8542,NY
1192,3,short,32,0,0,7.775,NY
1193,2,short,,0,0,15.0458,LON
1194,2,short,43,0,1,21,NY
1195,3,short,24,0,0,8.6625,NY
1196,3,long,,0,0,7.75,SIN
1197,1,long,64,1,1,26.55,NY
1198,1,short,30,1,2,151.55,NY
1199,3,short,0.83,0,1,9.35,NY
1200,1,short,55,1,1,93.5,NY
1201,3,long,45,1,0,14.1083,NY
1202,3,short,18,0,0,8.6625,NY
1203,3,short,22,0,0,7.225,LON
1204,3,short,,0,0,7.575,NY
1205,3,long,37,0,0,7.75,SIN
1206,1,long,55,0,0,135.6333,LON
1207,3,long,17,0,0,7.7333,SIN
1208,1,short,57,1,0,146.5208,LON
1209,2,short,19,0,0,10.5,NY
1210,3,short,27,0,0,7.8542,NY
1211,2,short,22,2,0,31.5,NY
1212,3,short,26,0,0,7.775,NY
1213,3,short,25,0,0,7.2292,LON
1214,2,short,26,0,0,13,NY
1215,1,short,33,0,0,26.55,NY
1216,1,long,39,0,0,211.3375,NY
1217,3,short,23,0,0,7.05,NY
1218,2,long,12,2,1,39,NY
1219,1,short,46,0,0,79.2,LON
1220,2,short,29,1,0,26,NY
1221,2,short,21,0,0,13,NY
1222,2,long,48,0,2,36.75,NY
1223,1,short,39,0,0,29.7,LON
1224,3,short,,0,0,7.225,LON
1225,3,long,19,1,1,15.7417,LON
1226,3,short,27,0,0,7.8958,NY
1227,1,short,30,0,0,26,NY
1228,2,short,32,0,0,13,NY
1229,3,short,39,0,2,7.2292,LON
1230,2,short,25,0,0,31.5,NY
1231,3,short,,0,0,7.2292,LON
1232,2,short,18,0,0,10.5,NY
1233,3,short,32,0,0,7.5792,NY
1234,3,short,,1,9,69.55,NY
1235,1,long,58,0,1,512.3292,LON
1236,3,short,,1,1,14.5,NY
1237,3,long,16,0,0,7.65,NY
1238,2,short,26,0,0,13,NY
1239,3,long,38,0,0,7.2292,LON
1240,2,short,24,0,0,13.5,NY
1241,2,long,31,0,0,21,NY
1242,1,long,45,0,1,63.3583,LON
1243,2,short,25,0,0,10.5,NY
1244,2,short,18,0,0,73.5,NY
1245,2,short,49,1,2,65,NY
1246,3,long,0.17,1,2,20.575,NY
1247,1,short,50,0,0,26,NY
1248,1,long,59,2,0,51.4792,NY
1249,3,short,,0,0,7.8792,NY
1250,3,short,,0,0,7.75,SIN
1251,3,long,30,1,0,15.55,NY
1252,3,short,14.5,8,2,69.55,NY
1253,2,long,24,1,1,37.0042,LON
1254,2,long,31,0,0,21,NY
1255,3,short,27,0,0,8.6625,NY
1256,1,long,25,1,0,55.4417,LON
1257,3,long,,1,9,69.55,NY
1258,3,short,,1,0,14.4583,LON
1259,3,long,22,0,0,39.6875,NY
1260,1,long,45,0,1,59.4,LON
1261,2,short,29,0,0,13.8583,LON
1262,2,short,21,1,0,11.5,NY
1263,1,long,31,0,0,134.5,LON
1264,1,short,49,0,0,0,NY
1265,2,short,44,0,0,13,NY
1266,1,long,54,1,1,81.8583,NY
1267,1,long,45,0,0,262.375,LON
1268,3,long,22,2,0,8.6625,NY
1269,2,short,21,0,0,11.5,NY
1270,1,short,55,0,0,50,NY
1271,3,short,5,4,2,31.3875,NY
1272,3,short,,0,0,7.75,SIN
1273,3,short,26,0,0,7.8792,SIN
1274,3,long,,0,0,14.5,NY
1275,3,long,19,1,0,16.1,NY
1276,2,short,,0,0,12.875,NY
1277,2,long,24,1,2,65,NY
1278,3,short,24,0,0,7.775,NY
1279,2,short,57,0,0,13,NY
1280,3,short,21,0,0,7.75,SIN
1281,3,short,6,3,1,21.075,NY
1282,1,short,23,0,0,93.5,NY
1283,1,long,51,0,1,39.4,NY
1284,3,short,13,0,2,20.25,NY
1285,2,short,47,0,0,10.5,NY
1286,3,short,29,3,1,22.025,NY
1287,1,long,18,1,0,60,NY
1288,3,short,24,0,0,7.25,SIN
1289,1,long,48,1,1,79.2,LON
1290,3,short,22,0,0,7.775,NY
1291,3,short,31,0,0,7.7333,SIN
1292,1,long,30,0,0,164.8667,NY
1293,2,short,38,1,0,21,NY
1294,1,long,22,0,1,59.4,LON
1295,1,short,17,0,0,47.1,NY
1296,1,short,43,1,0,27.7208,LON
1297,2,short,20,0,0,13.8625,LON
1298,2,short,23,1,0,10.5,NY
1299,1,short,50,1,1,211.5,LON
1300,3,long,,0,0,7.7208,SIN
1301,3,long,3,1,1,13.775,NY
1302,3,long,,0,0,7.75,SIN
1303,1,long,37,1,0,90,SIN
1304,3,long,28,0,0,7.775,NY
1305,3,short,,0,0,8.05,NY
1306,1,long,39,0,0,108.9,LON
1307,3,short,38.5,0,0,7.25,NY
1308,3,short,,0,0,8.05,NY
1309,3,short,,1,1,22.3583,LON
